"Subdivision category","3166-2 code","Subdivision name","Region_name"
"unitary authority","GB-WRT","Warrington","North West"
"two-tier county","GB-WAR","Warwick","West Midlands"
"unitary authority","GB-WBK","West Berkshire","South East"
"council area","GB-WDU","West Dunbartonshire","Scotland"
"council area","GB-WLN","West Lothian","Scotland"
"two-tier county","GB-WSX","West Sussex","South East"
"London borough","GB-WSM","Westminster","London"
"metropolitan district","GB-WGN","Wigan","North West"
"unitary authority","GB-WIL","Wiltshire","South West"
"unitary authority","GB-WNM","Windsor and Maidenhead","South East"
"metropolitan district","GB-WRL","Wirral","North West"
"unitary authority","GB-WOK","Wokingham","South East"
"metropolitan district","GB-WLV","Wolverhampton","West Midlands"
"two-tier county","GB-WOR","Worcester","West Midlands"
"unitary authority","GB-WRX","Wrexham","Wales"
"unitary authority","GB-YOR","York","Yorkshire and Humber"
